unitid,ug_white_pct,ug_black_pct,ug_hispanic_pct,ug_asian_pct,ug_nhpi_pct,ug_aian_pct,ug_two_or_more_pct,ug_unknown_pct,ug_nonresident_pct,ug_women_pct,grad_white_pct,grad_black_pct,grad_hispanic_pct,grad_asian_pct,grad_nhpi_pct,grad_aian_pct,grad_two_or_more_pct,grad_unknown_pct,grad_nonresident_pct,grad_women_pct
110635,20,2,22,35,0,0,7,4,10,56,28,4,10,20,0,0,5,2,31,49
110644,20,2,25,31,0,0,7,2,13,59,33,4,15,17,0,1,6,2,24,56
110653,13,2,27,37,0,0,6,2,12,56,23,3,15,22,0,0,4,3,30,51
110662,24,3,24,30,0,0,8,3,8,60,27,4,15,19,0,0,4,3,27,48
110671,10,4,40,36,0,0,5,2,4,53,20,3,18,15,0,0,2,2,39,45
110680,17,2,27,35,0,0,6,2,11,55,20,2,9,17,0,0,4,3,44,44
110699,,,,,,,,,,,24,7,15,33,0,0,6,4,11,63
110705,32,2,27,18,0,0,9,3,9,58,34,4,12,13,0,0,1,1,35,48
110714,31,2,29,24,0,0,9,2,3,53,33,2,14,12,0,0,4,3,32,46
445188,9,5,55,24,0,0,5,1,1,45,19,3,20,11,0,0,3,3,40,43
