unitid,total_enrollment,fte_enrollment,full_time_enrollment,part_time_enrollment,undergraduate_enrollment,first_time_undergraduate,transfer_undergraduate,continuing_undergraduate,nondegree_undergraduate,full_time_undergraduate,part_time_undergraduate,graduate_enrollment,full_time_graduate,part_time_graduate
110635,45882,43313,41759,4123,33070,6272,2725,24071,2,31576,1494,12812,10183,2629
110644,40065,39245,38728,1337,32273,6767,2656,22830,20,31484,789,7792,7244,548
110653,37297,36631,36211,1086,30204,6736,2728,20733,7,29559,645,7093,6652,441
110662,47335,46149,45444,1891,33475,6610,3834,23031,0,32972,503,13860,12472,1388
110671,26384,25902,25595,789,22600,5422,1269,15902,7,22095,505,3784,3500,284
110680,44256,43235,42601,1655,34955,7330,3751,23867,7,34114,841,9301,8487,814
110699,3007,3007,3007,0,0,0,0,0,0,0,0,3007,3007,0
110705,26133,25659,25357,776,23181,5008,2109,15996,68,22674,507,2952,2683,269
110714,19938,19592,19362,576,17940,4383,1277,12280,0,17414,526,1998,1948,50
445188,9110,9022,8964,146,8372,2093,225,6054,0,8236,136,738,728,10
